Ticker,Max_Drawdown,Monthly_Hit_Rate,Upside_Capture,Downside_Capture,Down_Month_Hit_Rate,Worst_Month_Hit_Rate,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure
PRU,-0.33108516206966027,0.5,1.1633323933559896,1.1328535675363285,0.45,0.0,Financials,Financial Services,United States,"25,000 - 49,999 employees","$50,000,000,001 - $75,000,000,000",Public
CBRE,-0.40380779691749763,0.48333333333333334,1.4481616401043869,1.3597606597106608,0.25,0.0,Real Estate,Real Estate Management & Development,United States,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
CTSH,-0.43765786452353517,0.4666666666666667,1.0679022739689141,1.161692155481452,0.4,0.3333333333333333,Information Technology,Software & Services,United States,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
HIG,-0.18620689655172432,0.5,0.7881867191560534,0.5662342579227454,0.6,0.6666666666666666,Financials,Insurance,United States,"15,000 - 24,999 employees","$25,000,000,001 - $50,000,000,000",Public
DELL,-0.5959085162624985,0.5666666666666667,1.770377785373608,1.5597846823261607,0.65,0.6666666666666666,Information Technology,Technology Hardware & Equipment,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public
NOKIA,-0.47600000000000037,0.5,0.8347187031279348,0.7080937766279328,0.65,0.6666666666666666,Communication Services,Telecommunication Services,Finland,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
ROK,-0.45091488644374333,0.43333333333333335,1.370324657468368,1.3746993370800085,0.35,0.6666666666666666,Industrials,Capital Goods,United States,"25,000 - 49,999 employees","$5,000,000,001 - $10,000,000,000",Public
IP,-0.4799035369774927,0.45,0.9360430202934025,1.006151592227778,0.4,0.3333333333333333,Materials,Materials,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
FITB,-0.5167053364269132,0.5333333333333333,1.4290789041299266,1.3861393785995302,0.5,0.3333333333333333,Financials,Banks,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public
HPQ,-0.43301178992497313,0.4166666666666667,1.3549654814742453,1.4644709968231369,0.3,0.3333333333333333,Information Technology,Technology Hardware & Equipment,United States,"50,000 - 100,000 employees","Greater than $75,000,000,000",Public
CAP,-0.4603851444291615,0.5333333333333333,0.9890131710375805,1.033738669089709,0.5,1.0,Information Technology,Software & Services,France,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
FTV,-0.32097710966860254,0.43333333333333335,1.0896904219951378,1.2009732698242979,0.35,0.6666666666666666,Industrials,Capital Goods,United States,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",Public
ADM,-0.5413021247585506,0.4166666666666667,0.5818713320338597,0.5453339309112698,0.4,0.6666666666666666,Consumer Staples,"Food, Beverage & Tobacco",United States,"25,000 - 49,999 employees","Greater than $75,000,000,000",Public
ZBH,-0.475807419858329,0.45,0.6983207275859469,0.8841289900174849,0.45,0.6666666666666666,Health Care,Health Care Equipment & Services,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public
HPE,-0.4835996635828429,0.5,1.5300016516738477,1.4505859096427005,0.4,0.3333333333333333,Information Technology,Technology Hardware & Equipment,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
4452,-0.39555320804276917,0.38333333333333336,0.09420788439990668,0.11072921958267791,0.7,1.0,Consumer Staples,Household & Personal Products,Japan,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
LH,-0.346059639982893,0.5,0.6946886296070364,0.6552962825978436,0.55,0.6666666666666666,,,,,,
PFG,-0.29310956151755085,0.55,1.2682459235588215,1.210030137781018,0.45,1.0,Financials,Financial Services,United States,"15,000 - 24,999 employees","$10,000,000,001 - $25,000,000,000",Public
HUBB,-0.3264627803077709,0.5833333333333334,1.2944107068859874,1.1368356286735686,0.45,1.0,Industrials,Capital Goods,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public
LDOS,-0.3686381009857177,0.55,0.6588966208319724,0.5533864465837336,0.7,1.0,Information Technology,Software & Services,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
BBY,-0.5259728825497444,0.36666666666666664,1.3443473857537207,1.5079596363056766,0.25,0.6666666666666666,Consumer Discretionary,Consumer Discretionary Distribution & Retail,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
UNM,-0.2829570284049532,0.5833333333333334,1.0089404269023237,0.7275957838875136,0.8,1.0,Financials,Insurance,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public
EDP,-0.39013452914798313,0.55,0.40787624181544685,0.4410057018403879,0.65,1.0,Utilities,Utilities,Portugal,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public
WDC,-0.6085384747805124,0.55,2.0900156354561017,1.8950840196154872,0.45,0.3333333333333333,Information Technology,Technology Hardware & Equipment,United States,"25,000 - 49,999 employees","$5,000,000,001 - $10,000,000,000",Public
APTV,-0.7309678868178763,0.4,1.7063334477120788,2.00784439250951,0.3,0.0,Consumer Discretionary,Automobiles & Components,Switzerland,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
BAH,-0.5595423239280166,0.5166666666666667,0.6356291721550285,0.6603798440696393,0.7,1.0,Information Technology,Software & Services,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
FLEX,-0.3999100314889789,0.65,1.8868244458582883,1.6689356087148017,0.6,0.3333333333333333,Industrials,Capital Goods,United States,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
