Ticker,Max_Drawdown_Pct,Time_Underwater_Days,Recovery_Days,Monthly_Hit_Rate_Pct,Upside_Capture_Pct,Downside_Capture_Pct,Down_Month_HR_Pct,Worst_Month_HR_Pct,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure,CAPM_Alpha_Ann_Pct,CAPM_Beta,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Sortino_Ratio,Info_Ratio,Total_Return_Pct
GWW,-24.5038540830097,297,,55.00000000000001,98.19184932706627,83.5306190746378,50.0,66.66666666666666,Industrials,Capital Goods,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public,12.085146681965155,0.8494607175595174,21.444839152429527,24.052098189212337,0.8915995180016271,1.3233471226587146,0.4911895976979688,161.09555659252388
KMB,-30.81122698957098,296,,41.66666666666667,14.35902111230019,16.826120794451313,60.0,66.66666666666666,Consumer Staples,Household & Personal Products,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public,-2.567985786935395,0.2143776643124043,-0.2058883184789284,19.19322481805727,-0.010727135248539665,-0.0129490815583594,-0.516129759863571,-10.15228426395921
ALC,-31.189670302118554,620,424.0,46.666666666666664,67.45024138876616,71.34719935375874,60.0,66.66666666666666,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Switzerland,"25,000 - 49,999 employees","$5,000,000,001 - $10,000,000,000",Public,-3.119973205292777,0.7013363347342183,4.607626524491098,24.239814323655057,0.19008505853094038,0.2687988586822182,-0.282802876187821,9.084640579210435
GM,-58.96263597666726,989,508.0,51.66666666666667,151.6089594315877,146.6625584423609,45.0,0.0,Consumer Discretionary,Automobiles & Components,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public,3.626230107727826,1.5123373702689031,20.289758396563585,36.55805637514386,0.5550010150528344,0.8346818727906123,0.2983132027910147,102.38924838227939
LONN,-59.837770654804714,1127,,40.0,78.01779348223276,84.70706208148363,40.0,33.33333333333333,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Switzerland,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public,-4.830089260610296,0.7785502471238965,3.748283741521081,28.917057232339534,0.129621894489636,0.1624255620291037,-0.2683022217941376,-2.438139467382594
CMI,-30.500449016246158,619,287.0,56.666666666666664,123.76844726781138,113.08457353895707,55.00000000000001,100.0,Consumer Discretionary,Automobiles & Components,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,8.772783569514415,1.1442331124520435,21.380394287337907,25.98554115060049,0.8227804132854796,1.2568968861189438,0.4943120194211117,153.78629152948312
TEL,-34.264238968444324,693,457.0,48.333333333333336,148.5427162894175,147.4547497820695,35.0,33.33333333333333,Information Technology,Technology Hardware & Equipment,Ireland,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,1.4178897528719259,1.4283054171293972,17.155520913306173,26.043980547721134,0.6587134743812152,0.9391688767607682,0.333578795535519,103.76426197107125
XEL,-34.40766550522644,575,189.0,46.666666666666664,34.433944418419486,29.827123839710413,60.0,66.66666666666666,Utilities,Utilities,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public,3.005308165917145,0.37460417906788734,7.132844427157539,20.39462330936746,0.34974141561522987,0.48479738056028937,-0.18080299853915802,29.829495517666093
PRU,-33.10851620696603,489,249.0,50.0,116.33323933559896,113.28535675363285,45.0,0.0,Financials,Financial Services,United States,"25,000 - 49,999 employees","$50,000,000,001 - $75,000,000,000",Public,1.6472399098118529,1.2143109877336071,15.026996234913574,25.36710577377525,0.5923811872321919,0.8040700593393395,0.2050940225625127,84.05222277309548
CBRE,-40.380779691749765,667,197.0,48.333333333333336,144.81616401043868,135.97606597106608,25.0,0.0,Real Estate,Real Estate Management & Development,United States,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,6.983573302405532,1.3958179381462725,22.363244634754594,28.874597932584393,0.7744954470696934,1.1712984939497442,0.5044269283948389,156.36160714285617
